chromosome	name	start	stop	length	penalty
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608449	200	1.516
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705180	3705379	200	1.438
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275769	5275968	200	15.03
Spolyrhiza9509_20150416_chr12	Sp12G06010	5345511	5345710	200	7.939
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069883	1070082	200	3.307
Spolyrhiza9509_20150416_chr17	Sp17G01730	1081944	1082143	200	1.105
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085546	1085745	200	1.426
Spolyrhiza9509_20150416_chr02	Sp02G05200	3706125	3706325	201	3.683
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707466	3707666	201	2.334
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714516	3714716	201	10.57
Spolyrhiza9509_20150416_chr07	Sp07G05500	5127445	5127645	201	0.066
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823407	2823607	201	0.505
Spolyrhiza9509_20150416_chr17	Sp17G01730	1086632	1086832	201	9.236
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096815	1097015	201	7.477
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097059	1097259	201	0.789
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356540	2356740	201	2.183
Spolyrhiza9509_20150416_chr02	Sp02G05090	3615056	3615257	202	12.64
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704725	3704926	202	3.187
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707817	3708018	202	1.178
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222552	5222753	202	5.142
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823448	2823649	202	2.614
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082181	1082382	202	0.789
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105033	1105234	202	4.811
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322824	2323025	202	7.44
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322986	2323187	202	4.676
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337052	2337253	202	0.783
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286454	3286656	203	1.018
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608639	3608841	203	0.793
Spolyrhiza9509_20150416_chr02	Sp02G05090	3610273	3610475	203	0.424
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713197	3713399	203	4.696
Spolyrhiza9509_20150416_chr07	Sp07G05550	5240678	5240880	203	2.678
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274464	5274666	203	1.486
Spolyrhiza9509_20150416_chr07	Sp07G05580	5276379	5276581	203	0.284
Spolyrhiza9509_20150416_chr13	Sp13G01220	1105638	1105840	203	9.225
Spolyrhiza9509_20150416_chr14	Sp14G06380	4804157	4804359	203	0.214
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068359	1068561	203	0.789
Spolyrhiza9509_20150416_chr17	Sp17G01730	1087281	1087483	203	12.22
Spolyrhiza9509_20150416_chr17	Sp17G02660	1724419	1724621	203	0.213
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318293	2318495	203	1.181
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358000	2358202	203	1.242
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2567952	204	5.023
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568134	204	4.721
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713619	3713822	204	0.222
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068154	1068357	204	0.438
Spolyrhiza9509_20150416_chr17	Sp17G01730	1083828	1084031	204	0.292
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613518	1613721	204	0.144
Spolyrhiza9509_20150416_chr17	Sp17G02500	1638471	1638674	204	0.205
Spolyrhiza9509_20150416_chr17	Sp17G03660	2464503	2464706	204	8.213
Spolyrhiza9509_20150416_chr17	Sp17G03670	2486920	2487123	204	0.496
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712217	3712421	205	0.705
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714247	3714451	205	5.106
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714650	3714854	205	0.43
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222831	5223035	205	1.172
Spolyrhiza9509_20150416_chr12	Sp12G06010	5344173	5344377	205	6.007
Spolyrhiza9509_20150416_chr13	Sp13G03150	3078341	3078545	205	6.993
Spolyrhiza9509_20150416_chr17	Sp17G01730	1084780	1084984	205	1.098
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096609	1096813	205	8.516
Spolyrhiza9509_20150416_chr17	Sp17G03520	2356634	2356838	205	0.075
Spolyrhiza9509_20150416_chr17	Sp17G03670	2494710	2494914	205	1.595
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500550	2500754	205	1.851
Spolyrhiza9509_20150416_chr02	Sp02G05200	3717133	3717338	206	1.04
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887093	5887298	206	1.587
Spolyrhiza9509_20150416_chr07	Sp07G05410	5059869	5060074	206	3.872
Spolyrhiza9509_20150416_chr17	Sp17G01730	1083053	1083258	206	3.297
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089203	1089408	206	0.276
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089290	1089495	206	0.503
Spolyrhiza9509_20150416_chr17	Sp17G02660	1724659	1724864	206	2.4
Spolyrhiza9509_20150416_chr17	Sp17G03670	2483094	2483299	206	0.139
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501334	2501539	206	3.638
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568092	207	2.152
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702051	3702257	207	4.628
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886613	5886819	207	0.144
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823758	2823964	207	7.156
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614245	1614451	207	2.502
Spolyrhiza9509_20150416_chr17	Sp17G02670	1728706	1728912	207	2.416
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317695	2317901	207	0.072
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491273	2491479	207	0.351
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293422	3293629	208	1.091
Spolyrhiza9509_20150416_chr07	Sp07G05550	5243269	5243476	208	2.296
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957823	5958030	208	2.236
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823071	2823278	208	0.507
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082728	1082935	208	0.638
Spolyrhiza9509_20150416_chr17	Sp17G02450	1607358	1607565	208	0.482
Spolyrhiza9509_20150416_chr17	Sp17G02670	1727974	1728181	208	0.808
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317449	2317656	208	1.643
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318664	2318871	208	0.495
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318994	2319201	208	0.795
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497402	2497609	208	10.45
Spolyrhiza9509_20150416_chr02	Sp02G05090	3610321	3610529	209	5.577
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707904	3708112	209	1.608
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710952	3711160	209	9.688
Spolyrhiza9509_20150416_chr05	Sp05G06860	5879985	5880193	209	5.369
Spolyrhiza9509_20150416_chr09	Sp09G02390	1356886	1357094	209	0.361
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822153	2822361	209	4.075
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069750	1069958	209	0.142
Spolyrhiza9509_20150416_chr17	Sp17G02670	1727909	1728117	209	3.168
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337299	2337507	209	0.504
Spolyrhiza9509_20150416_chr17	Sp17G03670	2481979	2482187	209	2.905
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491851	2492059	209	0.137
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702833	3703042	210	3.571
Spolyrhiza9509_20150416_chr02	Sp02G05200	3706792	3707001	210	3.402
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708227	3708436	210	2.681
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221420	5221629	210	6.184
Spolyrhiza9509_20150416_chr07	Sp07G05550	5240550	5240759	210	1.642
Spolyrhiza9509_20150416_chr09	Sp09G02400	1363813	1364022	210	1.24
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067519	1067728	210	2.601
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105236	1105445	210	2.203
Spolyrhiza9509_20150416_chr17	Sp17G02450	1607436	1607645	210	0.707
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613287	1613496	210	0.493
Spolyrhiza9509_20150416_chr17	Sp17G03670	2493318	2493527	210	1.908
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702457	3702667	211	4.9
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707637	3707847	211	3.366
Spolyrhiza9509_20150416_chr02	Sp02G05200	3709855	3710065	211	11.04
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710836	3711046	211	8.227
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712636	3712846	211	4.129
Spolyrhiza9509_20150416_chr07	Sp07G05580	5275587	5275797	211	7.818
Spolyrhiza9509_20150416_chr13	Sp13G03150	3078610	3078820	211	0.431
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097596	1097806	211	0.698
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317971	2318181	211	2.136
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358165	2358375	211	3.059
Spolyrhiza9509_20150416_chr17	Sp17G03670	2493417	2493627	211	1.194
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703368	3703579	212	0.069
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708863	3709074	212	4.049
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710657	3710868	212	9.606
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713363	3713574	212	1.572
Spolyrhiza9509_20150416_chr02	Sp02G05200	3715848	3716059	212	3.393
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957496	5957707	212	1.033
Spolyrhiza9509_20150416_chr13	Sp13G03150	3082054	3082265	212	1.312
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105390	1105601	212	1.768
Spolyrhiza9509_20150416_chr17	Sp17G02500	1637212	1637423	212	10.07
Spolyrhiza9509_20150416_chr17	Sp17G03670	2486360	2486571	212	0.434
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286121	213	6.892
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293420	213	0.845
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608379	3608591	213	2.042
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714984	3715196	213	3.2
Spolyrhiza9509_20150416_chr07	Sp07G05500	5124886	5125098	213	0.067
Spolyrhiza9509_20150416_chr07	Sp07G05540	5220979	5221191	213	1.918
