chromosome	name	start	stop	length	primer location quadruplets
Spolyrhiza9509_20150416_chr01	Sp01G04390	2562685	2563027	343	2562685,143,2562829,199
Spolyrhiza9509_20150416_chr01	Sp01G04390	2562685	2563281	597	2562685,143,2563039,243
Spolyrhiza9509_20150416_chr01	Sp01G04390	2562829	2563281	453	2562829,199,2563039,243
Spolyrhiza9509_20150416_chr01	Sp01G04390	2564036	2564701	666	2564036,292,2564329,373
Spolyrhiza9509_20150416_chr01	Sp01G04390	2564036	2564771	736	2564036,292,2564703,69
Spolyrhiza9509_20150416_chr01	Sp01G04390	2564329	2564771	443	2564329,373,2564703,69
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2567952	204	2567749,28,2567931,22
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568047	299	2567749,28,2567978,70
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568092	344	2567749,28,2568049,44
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568113	365	2567749,28,2568094,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568134	386	2567749,28,2568115,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568156	408	2567749,28,2568136,21
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568212	464	2567749,28,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567749	2568276	528	2567749,28,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568047	270	2567778,46,2567978,70
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568092	315	2567778,46,2568049,44
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568113	336	2567778,46,2568094,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568134	357	2567778,46,2568115,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568156	379	2567778,46,2568136,21
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568212	435	2567778,46,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567778	2568276	499	2567778,46,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568047	223	2567825,47,2567978,70
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568092	268	2567825,47,2568049,44
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568113	289	2567825,47,2568094,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568134	310	2567825,47,2568115,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568156	332	2567825,47,2568136,21
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568212	388	2567825,47,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568276	452	2567825,47,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568092	207	2567886,32,2568049,44
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568113	228	2567886,32,2568094,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568134	249	2567886,32,2568115,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568156	271	2567886,32,2568136,21
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568212	327	2567886,32,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567886	2568276	391	2567886,32,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568134	204	2567931,22,2568115,20
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568156	226	2567931,22,2568136,21
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568212	282	2567931,22,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568276	346	2567931,22,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567978	2568212	235	2567978,70,2568176,37
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567978	2568276	299	2567978,70,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G04390	2568049	2568276	228	2568049,44,2568214,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285276	3285907	632	3285276,461,3285738,170
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285276	3285953	678	3285276,461,3285909,45
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285276	3285982	707	3285276,461,3285955,28
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285276	3286121	846	3285276,461,3285984,138
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3285953	216	3285738,170,3285909,45
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3285982	245	3285738,170,3285955,28
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3286121	384	3285738,170,3285984,138
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3286452	715	3285738,170,3286123,330
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3286499	762	3285738,170,3286454,46
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3286580	843	3285738,170,3286518,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286121	213	3285909,45,3285984,138
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286452	544	3285909,45,3286123,330
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286499	591	3285909,45,3286454,46
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286580	672	3285909,45,3286518,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286656	748	3285909,45,3286582,75
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285909	3286711	803	3285909,45,3286658,54
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285955	3286452	498	3285955,28,3286123,330
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285955	3286499	545	3285955,28,3286454,46
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285955	3286580	626	3285955,28,3286518,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285955	3286656	702	3285955,28,3286582,75
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285955	3286711	757	3285955,28,3286658,54
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285984	3286452	469	3285984,138,3286123,330
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285984	3286499	516	3285984,138,3286454,46
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285984	3286580	597	3285984,138,3286518,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285984	3286656	673	3285984,138,3286582,75
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285984	3286711	728	3285984,138,3286658,54
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286123	3286499	377	3286123,330,3286454,46
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286123	3286580	458	3286123,330,3286518,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286123	3286656	534	3286123,330,3286582,75
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286123	3286711	589	3286123,330,3286658,54
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286454	3286656	203	3286454,46,3286582,75
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286454	3286711	258	3286454,46,3286658,54
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286454	3287120	667	3286454,46,3286713,408
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286518	3287120	603	3286518,63,3286713,408
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286518	3287395	878	3286518,63,3287122,274
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286582	3287120	539	3286582,75,3286713,408
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286582	3287395	814	3286582,75,3287122,274
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286658	3287120	463	3286658,54,3286713,408
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286658	3287395	738	3286658,54,3287122,274
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286713	3287395	683	3286713,408,3287122,274
Spolyrhiza9509_20150416_chr01	Sp01G05310	3286713	3287584	872	3286713,408,3287417,168
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287122	3287584	463	3287122,274,3287417,168
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287122	3287685	564	3287122,274,3287586,100
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287122	3287874	753	3287122,274,3287691,184
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287417	3287685	269	3287417,168,3287586,100
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287417	3287874	458	3287417,168,3287691,184
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287417	3288070	654	3287417,168,3287876,195
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287586	3287874	289	3287586,100,3287691,184
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287586	3288070	485	3287586,100,3287876,195
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287691	3288070	380	3287691,184,3287876,195
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287691	3288550	860	3287691,184,3288072,479
Spolyrhiza9509_20150416_chr01	Sp01G05310	3287876	3288550	675	3287876,195,3288072,479
Spolyrhiza9509_20150416_chr01	Sp01G05310	3288072	3288862	791	3288072,479,3288552,311
Spolyrhiza9509_20150416_chr01	Sp01G05310	3288072	3288967	896	3288072,479,3288864,104
Spolyrhiza9509_20150416_chr01	Sp01G05310	3288552	3288967	416	3288552,311,3288864,104
Spolyrhiza9509_20150416_chr01	Sp01G05310	3288969	3289824	856	3288969,831,3289801,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3289801	3290097	297	3289801,24,3289925,173
Spolyrhiza9509_20150416_chr01	Sp01G05310	3289826	3290097	272	3289826,98,3289925,173
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291073	3291577	505	3291073,412,3291486,92
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291073	3291824	752	3291073,412,3291579,246
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291073	3291864	792	3291073,412,3291828,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291486	3291824	339	3291486,92,3291579,246
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291486	3291864	379	3291486,92,3291828,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3291579	3291864	286	3291579,246,3291828,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3292824	3293270	447	3292824,383,3293208,63
Spolyrhiza9509_20150416_chr01	Sp01G05310	3292824	3293357	534	3292824,383,3293272,86
Spolyrhiza9509_20150416_chr01	Sp01G05310	3292824	3293420	597	3292824,383,3293359,62
Spolyrhiza9509_20150416_chr01	Sp01G05310	3292824	3293575	752	3292824,383,3293422,154
Spolyrhiza9509_20150416_chr01	Sp01G05310	3292824	3293629	806	3292824,383,3293577,53
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293420	213	3293208,63,3293359,62
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293575	368	3293208,63,3293422,154
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293629	422	3293208,63,3293577,53
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293745	538	3293208,63,3293631,115
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293973	766	3293208,63,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293208	3293998	791	3293208,63,3293975,24
